algorithm,dataset,N,l1_misses,l1_refs,llc_misses,llc_refs
std::sort,random,10000,0,0,0,0
std::sort,random,100000,0,0,0,0
std::sort,random,1000000,0,0,0,0
std::sort,wiki_random,10000,0,0,0,0
std::sort,wiki_random,100000,0,0,0,0
std::sort,wiki_random,1000000,0,0,0,0
burstsort,random,10000,0,0,0,0
burstsort,random,100000,0,0,0,0
burstsort,random,1000000,0,0,0,0
burstsort,wiki_random,10000,0,0,0,0
burstsort,wiki_random,100000,0,0,0,0
burstsort,wiki_random,1000000,0,0,0,0
c_burstsort,random,10000,0,0,0,0
c_burstsort,random,100000,0,0,0,0
c_burstsort,random,1000000,0,0,0,0
c_burstsort,wiki_random,10000,0,0,0,0
c_burstsort,wiki_random,100000,0,0,0,0
c_burstsort,wiki_random,1000000,0,0,0,0
msd_radix_sort,random,10000,0,0,0,0
msd_radix_sort,random,100000,0,0,0,0
msd_radix_sort,random,1000000,0,0,0,0
msd_radix_sort,wiki_random,10000,0,0,0,0
msd_radix_sort,wiki_random,100000,0,0,0,0
msd_radix_sort,wiki_random,1000000,0,0,0,0
merge_sort,random,10000,0,0,0,0
merge_sort,random,100000,0,0,0,0
merge_sort,random,1000000,0,0,0,0
merge_sort,wiki_random,10000,0,0,0,0
merge_sort,wiki_random,100000,0,0,0,0
merge_sort,wiki_random,1000000,0,0,0,0
lazy_funnelsort,random,10000,0,0,0,0
lazy_funnelsort,random,100000,0,0,0,0
lazy_funnelsort,random,1000000,0,0,0,0
lazy_funnelsort,wiki_random,10000,0,0,0,0
lazy_funnelsort,wiki_random,100000,0,0,0,0
lazy_funnelsort,wiki_random,1000000,0,0,0,0
