dataset,count,mean_recursion_depth,time_per_char_us_mean,elapsed_mean_s
random,100000,3.34717,0.0089535,0.012517
prefix_heavy,100000,5.49993,0.0135692,0.0173743
wiki_random,100000,3.54003,0.0120694,0.025292
wiki_heavy,100000,3.6394,0.00981595,0.030162
random,1000000,4.05713,0.0134444,0.18813
prefix_heavy,1000000,6.29313,0.018842,0.241127
wiki_random,1000000,4.20695,0.0161688,0.338729
wiki_heavy,1000000,4.32461,0.0147015,0.451731
random,5000000,4.62768,0.0131887,0.923017
prefix_heavy,5000000,6.76545,0.0212094,1.35726
wiki_random,5000000,4.66879,0.0204201,2.13939
wiki_heavy,5000000,4.5578,0.0176467,1.20923
