algorithm,dataset,count,elapsed_mean_s,elapsed_std_s,time_per_element_us_mean,time_per_char_us_mean
std::sort,random,100000,0.0220116,0.000881929,0.220116,0.015745
std::sort,prefix_heavy,100000,0.0212323,0.000779072,0.212323,0.0165823
std::sort,wiki_random,100000,0.0214248,0.000590989,0.214248,0.0102239
std::sort,wiki_heavy,100000,0.0191555,0.000518332,0.191555,0.00623396
multikey_quicksort,random,100000,0.0261711,0.00145409,0.261711,0.0187204
multikey_quicksort,prefix_heavy,100000,0.0250277,0.000796407,0.250277,0.0195465
multikey_quicksort,wiki_random,100000,0.0219594,0.000995128,0.219594,0.010479
multikey_quicksort,wiki_heavy,100000,0.0149215,0.00075501,0.149215,0.00485605
burstsort,random,100000,0.021579,0.00200676,0.21579,0.0154355
burstsort,prefix_heavy,100000,0.0250707,0.00129753,0.250707,0.0195801
burstsort,wiki_random,100000,0.0199935,0.000943554,0.199935,0.00954089
burstsort,wiki_heavy,100000,0.0179077,0.000868906,0.179077,0.0058279
c_burstsort,random,100000,0.0188867,0.000669126,0.188867,0.0135098
c_burstsort,prefix_heavy,100000,0.0174756,0.000817485,0.174756,0.0136483
c_burstsort,wiki_random,100000,0.0196012,0.000984094,0.196012,0.00935371
c_burstsort,wiki_heavy,100000,0.0197131,0.000546733,0.197131,0.00641545
msd_radix_sort,random,100000,0.012517,0.000452842,0.12517,0.0089535
msd_radix_sort,prefix_heavy,100000,0.0173743,0.000589515,0.173743,0.0135692
msd_radix_sort,wiki_random,100000,0.025292,0.000798472,0.25292,0.0120694
msd_radix_sort,wiki_heavy,100000,0.030162,0.00061638,0.30162,0.00981595
merge_sort,random,100000,0.0382602,0.00126242,0.382602,0.0273677
merge_sort,prefix_heavy,100000,0.0335644,0.00117766,0.335644,0.0262135
merge_sort,wiki_random,100000,0.0340926,0.000723104,0.340926,0.016269
merge_sort,wiki_heavy,100000,0.025406,0.000948242,0.25406,0.00826813
lazy_funnelsort,random,100000,0.0354847,0.00101096,0.354847,0.0253824
lazy_funnelsort,prefix_heavy,100000,0.0321839,0.000873641,0.321839,0.0251354
lazy_funnelsort,wiki_random,100000,0.0358851,0.00137319,0.358851,0.0171244
lazy_funnelsort,wiki_heavy,100000,0.0337296,0.00108961,0.337296,0.010977
std::sort,random,1000000,0.32678,0.00949253,0.32678,0.0233527
std::sort,prefix_heavy,1000000,0.288065,0.00778401,0.288065,0.0225098
std::sort,wiki_random,1000000,0.390889,0.0930779,0.390889,0.0186586
std::sort,wiki_heavy,1000000,0.398483,0.0646883,0.398483,0.0129686
multikey_quicksort,random,1000000,0.403774,0.148388,0.403774,0.0288549
multikey_quicksort,prefix_heavy,1000000,0.366949,0.0664711,0.366949,0.028674
multikey_quicksort,wiki_random,1000000,0.31362,0.0354871,0.31362,0.0149702
multikey_quicksort,wiki_heavy,1000000,0.264177,0.0514215,0.264177,0.0085976
burstsort,random,1000000,0.252695,0.0221257,0.252695,0.0180584
burstsort,prefix_heavy,1000000,0.376779,0.10132,0.376779,0.0294421
burstsort,wiki_random,1000000,0.282445,0.0682295,0.282445,0.0134822
burstsort,wiki_heavy,1000000,0.318275,0.136196,0.318275,0.0103582
c_burstsort,random,1000000,0.245753,0.0514131,0.245753,0.0175623
c_burstsort,prefix_heavy,1000000,0.319421,0.0587795,0.319421,0.02496
c_burstsort,wiki_random,1000000,0.315287,0.117457,0.315287,0.0150498
c_burstsort,wiki_heavy,1000000,0.338154,0.209466,0.338154,0.0110052
msd_radix_sort,random,1000000,0.18813,0.0496569,0.18813,0.0134444
msd_radix_sort,prefix_heavy,1000000,0.241127,0.0362476,0.241127,0.018842
msd_radix_sort,wiki_random,1000000,0.338729,0.0133476,0.338729,0.0161688
msd_radix_sort,wiki_heavy,1000000,0.451731,0.00519043,0.451731,0.0147015
merge_sort,random,1000000,0.510529,0.00669576,0.510529,0.036484
merge_sort,prefix_heavy,1000000,0.447266,0.0189841,0.447266,0.0349501
merge_sort,wiki_random,1000000,0.48795,0.0227787,0.48795,0.0232917
merge_sort,wiki_heavy,1000000,0.410105,0.00508495,0.410105,0.0133468
lazy_funnelsort,random,1000000,0.542253,0.00835691,0.542253,0.0387511
lazy_funnelsort,prefix_heavy,1000000,0.469914,0.0050124,0.469914,0.0367198
lazy_funnelsort,wiki_random,1000000,0.564567,0.0264092,0.564567,0.0269489
lazy_funnelsort,wiki_heavy,1000000,0.468687,0.011915,0.468687,0.0152534
std::sort,random,5000000,2.00403,0.0463349,0.400807,0.028635
std::sort,prefix_heavy,5000000,1.74709,0.0382052,0.349418,0.027301
std::sort,wiki_random,5000000,2.21292,0.128845,0.442584,0.021122
std::sort,wiki_heavy,5000000,0.979156,0.0796413,0.195831,0.0142891
multikey_quicksort,random,5000000,2.11533,0.0928695,0.423066,0.0302253
multikey_quicksort,prefix_heavy,5000000,2.0313,0.0715435,0.40626,0.0317422
multikey_quicksort,wiki_random,5000000,1.9146,0.17844,0.382919,0.0182745
multikey_quicksort,wiki_heavy,5000000,0.663705,0.0568196,0.132741,0.00968563
burstsort,random,5000000,1.62115,0.107189,0.324229,0.0231641
burstsort,prefix_heavy,5000000,1.87694,0.0557746,0.375387,0.0293301
burstsort,wiki_random,5000000,1.65216,0.0425554,0.330433,0.0157697
burstsort,wiki_heavy,5000000,0.657505,0.0237607,0.131501,0.00959515
c_burstsort,random,5000000,1.65001,0.0723884,0.330003,0.0235765
c_burstsort,prefix_heavy,5000000,1.45514,0.0748896,0.291028,0.0227388
c_burstsort,wiki_random,5000000,1.55326,0.11018,0.310652,0.0148256
c_burstsort,wiki_heavy,5000000,0.643317,0.0160334,0.128663,0.0093881
msd_radix_sort,random,5000000,0.923017,0.0707371,0.184603,0.0131887
msd_radix_sort,prefix_heavy,5000000,1.35726,0.101069,0.271453,0.0212094
msd_radix_sort,wiki_random,5000000,2.13939,0.131469,0.427878,0.0204201
msd_radix_sort,wiki_heavy,5000000,1.20923,0.0506952,0.241846,0.0176467
merge_sort,random,5000000,3.1021,0.077986,0.620419,0.0443249
merge_sort,prefix_heavy,5000000,2.72149,0.14302,0.544299,0.0425276
merge_sort,wiki_random,5000000,2.95177,0.0459061,0.590354,0.0281742
merge_sort,wiki_heavy,5000000,1.092,0.0690358,0.218401,0.0159359
lazy_funnelsort,random,5000000,3.20059,0.485226,0.640118,0.0457322
lazy_funnelsort,prefix_heavy,5000000,2.65113,0.0938591,0.530225,0.041428
lazy_funnelsort,wiki_random,5000000,3.16414,0.310288,0.632829,0.0302013
lazy_funnelsort,wiki_heavy,5000000,1.07978,0.0426077,0.215956,0.0157575
